שם תחנה,מספר תחנה,תאריך,סוג קרינה(),05-06 LST(kJ/m²),06-07 LST(kJ/m²),07-08 LST(kJ/m²),08-09 LST(kJ/m²),09-10 LST(kJ/m²),10-11 LST(kJ/m²),11-12 LST(kJ/m²),12-13 LST(kJ/m²),13-14 LST(kJ/m²),14-15 LST(kJ/m²),15-16 LST(kJ/m²),16-17 LST(kJ/m²),17-18 LST(kJ/m²),18-19 LST(kJ/m²)
בית דגן קרינה                                     ,2524,13-01-2020,גלובאלית,0,7.2,399.6,813.6,1720.8,367.2,1501.2,957.6,835.2,1202.4,788.4,115.2,0,0
בית דגן קרינה                                     ,2524,14-01-2020,ישירה,0,0,198,2008.8,2714.4,2865.6,2538,1490.4,36,1180.8,871.2,3.6,0,0
בית דגן קרינה                                     ,2524,14-01-2020,מפוזרת,0,10.8,144,237.6,273.6,313.2,511.2,784.8,568.8,500.4,270,86.4,0,0
בית דגן קרינה                                     ,2524,14-01-2020,גלובאלית,0,14.4,252,968.4,1544.4,1940.4,2091.6,1774.8,658.8,1008,554.4,93.6,0,0
בית דגן קרינה                                     ,2524,15-01-2020,ישירה,0,0,219.6,1605.6,2293.2,2584.8,2836.8,2455.2,2318.4,2062.8,1526.4,342,0,0
בית דגן קרינה                                     ,2524,15-01-2020,מפוזרת,0,10.8,133.2,277.2,320.4,410.4,381.6,532.8,518.4,360,255.6,82.8,0,0
בית דגן קרינה                                     ,2524,15-01-2020,גלובאלית,0,10.8,201.6,846,1432.8,1904.4,2116.8,2030.4,1796.4,1267.2,702,136.8,0,0
בית דגן קרינה                                     ,2524,16-01-2020,ישירה,0,0,223.2,900,1198.8,453.6,266.4,1022.4,2134.8,1587.6,97.2,7.2,0,0
בית דגן קרינה                                     ,2524,16-01-2020,מפוזרת,0,14.4,198,511.2,720,874.8,1058.4,1076.4,716.4,518.4,212.4,21.6,0,0
בית דגן קרינה                                     ,2524,16-01-2020,גלובאלית,0,14.4,234,842.4,1357.2,1227.6,1332,1828.8,1947.6,1242,259.2,21.6,0,0
בית דגן קרינה                                     ,2524,17-01-2020,ישירה,0,0,248.4,406.8,1047.6,75.6,169.2,0,0,46.8,3.6,0,0,0
בית דגן קרינה                                     ,2524,17-01-2020,מפוזרת,0,10.8,237.6,428.4,838.8,680.4,1119.6,352.8,468,417.6,115.2,61.2,0,0
בית דגן קרינה                                     ,2524,17-01-2020,גלובאלית,0,10.8,291.6,644.4,1436.4,774,1314,367.2,496.8,482.4,129.6,64.8,0,0
בית דגן קרינה                                     ,2524,18-01-2020,ישירה,0,0,162,36,1119.6,1087.2,61.2,1245.6,1497.6,244.8,0,0,0,0
