שם תחנה,מספר תחנה,תאריך,סוג קרינה(),05-06 LST(kJ/m²),06-07 LST(kJ/m²),07-08 LST(kJ/m²),08-09 LST(kJ/m²),09-10 LST(kJ/m²),10-11 LST(kJ/m²),11-12 LST(kJ/m²),12-13 LST(kJ/m²),13-14 LST(kJ/m²),14-15 LST(kJ/m²),15-16 LST(kJ/m²),16-17 LST(kJ/m²),17-18 LST(kJ/m²),18-19 LST(kJ/m²)
בית דגן קרינה                                     ,2524,06-04-2020,מפוזרת,28.8,345.6,766.8,867.6,1029.6,1026,1486.8,1494,892.8,586.8,622.8,432,133.2,0
בית דגן קרינה                                     ,2524,06-04-2020,גלובאלית,32.4,507.6,1065.6,1119.6,1659.6,3384,2851.2,2322,2674.8,2426.4,1630.8,846,154.8,0
בית דגן קרינה                                     ,2524,07-04-2020,ישירה,3.6,86.4,885.6,284.4,1245.6,1576.8,2710.8,3034.8,3153.6,3070.8,1472.4,964.8,666,0
בית דגן קרינה                                     ,2524,07-04-2020,מפוזרת,18,212.4,590.4,723.6,1072.8,1119.6,874.8,522,475.2,424.8,597.6,478.8,216,0
בית דגן קרינה                                     ,2524,07-04-2020,גלובאלית,18,252,1062,1026,2185.2,2761.2,3502.8,3304.8,3110.4,2602.8,1515.6,900,352.8,0
בית דגן קרינה                                     ,2524,08-04-2020,ישירה,0,741.6,2314.8,2174.4,1371.6,1843.2,3207.6,3358.8,3250.8,3063.6,2253.6,1544.4,82.8,0
בית דגן קרינה                                     ,2524,08-04-2020,מפוזרת,18,219.6,367.2,727.2,738,597.6,439.2,392.4,406.8,385.2,464.4,414,140.4,0
בית דגן קרינה                                     ,2524,08-04-2020,גלובאלית,21.6,478.8,1486.8,2163.6,1915.2,2332.8,3420,3445.2,3139.2,2577.6,1749.6,986.4,176.4,0
בית דגן קרינה                                     ,2524,09-04-2020,מפוזרת,21.6,212.4,316.8,619.2,594,468,370.8,378,583.2,1249.2,475.2,464.4,158.4,0
בית דגן קרינה                                     ,2524,09-04-2020,ישירה,61.2,1839.6,2509.2,1497.6,1832.4,3060,3387.6,3348,2678.4,183.6,1990.8,1177.2,158.4,0
בית דגן קרינה                                     ,2524,09-04-2020,גלובאלית,68.4,788.4,1476,1681.2,2116.8,3200.4,3502.8,3434.4,2930.4,1573.2,1648.8,950.4,190.8,0
בית דגן קרינה                                     ,2524,10-04-2020,ישירה,3.6,57.6,370.8,777.6,1339.2,25.2,140.4,212.4,432,104.4,878.4,532.8,82.8,0
בית דגן קרינה                                     ,2524,10-04-2020,מפוזרת,14.4,194.4,486,626.4,806.4,583.2,990,676.8,1310.4,878.4,644.4,410.4,151.2,0
בית דגן קרינה                                     ,2524,10-04-2020,גלובאלית,18,230.4,712.8,1260,2037.6,673.2,1346.4,1101.6,1980,1209.6,1288.8,648,183.6,0
בית דגן קרינה                                     ,2524,11-04-2020,ישירה,0,360,421.2,61.2,327.6,1407.6,1166.4,1324.8,1206,921.6,1170,864,82.8,0
בית דגן קרינה                                     ,2524,11-04-2020,מפוזרת,14.4,399.6,612,500.4,748.8,1155.6,1360.8,1281.6,1134,1062,770.4,486,140.4,0
בית דגן קרינה                                     ,2524,11-04-2020,גלובאלית,18,561.6,867.6,615.6,1126.8,2595.6,2664,2710.8,2314.8,1868.4,1512,867.6,172.8,0
בית דגן קרינה                                     ,2524,12-04-2020,ישירה,7.2,1101.6,1537.2,446.4,1368,1591.2,1915.2,2617.2,3211.2,3189.6,2908.8,2264.4,813.6,0
בית דגן קרינה                                     ,2524,12-04-2020,מפוזרת,32.4,298.8,658.8,907.2,964.8,936,892.8,712.8,399.6,327.6,298.8,252,126,0
בית דגן קרינה                                     ,2524,12-04-2020,גלובאלית,39.6,680.4,1429.2,1339.2,2206.8,2559.6,2887.2,3207.6,3124.8,2610,1893.6,1058.4,277.2,0
בית דגן קרינה                                     ,2524,13-04-2020,מפוזרת,25.2,223.2,306,370.8,396,432,428.4,385.2,345.6,342,320.4,378,216,0
בית דגן קרינה                                     ,2524,13-04-2020,ישירה,68.4,1591.2,2718,2977.2,3204,3276,3333.6,3416.4,3380.4,3196.8,2955.6,1692,529.2,0
בית דגן קרינה                                     ,2524,13-04-2020,גלובאלית,75.6,777.6,1594.8,2340,2966.4,3373.2,3571.2,3528,3211.2,2646,1954.8,1054.8,316.8,0
בית דגן קרינה                                     ,2524,14-04-2020,ישירה,0,111.6,770.4,2390.4,2577.6,2703.6,2826,2865.6,2858.4,2610,2264.4,1677.6,601.2,0
בית דגן קרינה                                     ,2524,14-04-2020,מפוזרת,18,356.4,716.4,586.8,684,691.2,662.4,608.4,532.8,511.2,450,338.4,147.6,0
בית דגן קרינה                                     ,2524,14-04-2020,גלובאלית,21.6,439.2,1227.6,2232,2836.8,3196.8,3391.2,3319.2,3013.2,2451.6,1756.8,975.6,266.4,0
בית דגן קרינה                                     ,2524,15-04-2020,מפוזרת,32.4,320.4,464.4,482.4,486,565.2,838.8,831.6,1162.8,982.8,676.8,381.6,162,0
בית דגן קרינה                                     ,2524,15-04-2020,גלובאלית,43.2,691.2,1515.6,2286,2894.4,3301.2,3250.8,3085.2,2397.6,1724.4,1558.8,1029.6,198,0
בית דגן קרינה                                     ,2524,15-04-2020,ישירה,86.4,1213.2,2030.4,2606.4,2934,2970,2412,2289.6,1184.4,813.6,1396.8,1652.4,118.8,0
בית דגן קרינה                                     ,2524,16-04-2020,מפוזרת,36,327.6,424.8,504,565.2,601.2,622.8,637.2,993.6,1029.6,597.6,338.4,136.8,0
בית דגן קרינה                                     ,2524,16-04-2020,גלובאלית,57.6,727.2,1497.6,2304,2833.2,3258,3420,3312,2854.8,1501.2,684,374.4,151.2,0
בית דגן קרינה                                     ,2524,16-04-2020,ישירה,108,1195.2,2041.2,2577.6,2689.2,2836.8,2865.6,2790,1958.4,421.2,18,0,0,0
בית דגן קרינה                                     ,2524,17-04-2020,מפוזרת,46.8,464.4,709.2,1094.4,1083.6,946.8,712.8,860.4,745.2,586.8,572.4,457.2,187.2,0
בית דגן קרינה                                     ,2524,17-04-2020,גלובאלית,68.4,712.8,910.8,1933.2,2725.2,3348,3488.4,3333.6,3117.6,2516.4,1782,1011.6,270,0
בית דגן קרינה                                     ,2524,17-04-2020,ישירה,86.4,727.2,154.8,882,1803.6,2480.4,2800.8,2422.8,2538,2430,1900.8,1267.2,306,0
בית דגן קרינה                                     ,2524,18-04-2020,מפוזרת,36,370.8,712.8,918,979.2,766.8,702,666,630,601.2,500.4,360,158.4,0
בית דגן קרינה                                     ,2524,18-04-2020,גלובאלית,54,694.8,939.6,1936.8,2538,3297.6,3362.4,3355.2,3009.6,2458.8,1774.8,990,288,0
בית דגן קרינה                                     ,2524,18-04-2020,ישירה,82.8,1087.2,223.2,1249.2,1699.2,2635.2,2718,2822.4,2707.2,2455.2,2170.8,1656,658.8,0
בית דגן קרינה                                     ,2524,19-04-2020,ישירה,0,496.8,874.8,1843.2,2368.8,2239.2,2188.8,2192.4,2174.4,1893.6,1648.8,918,172.8,0
בית דגן קרינה                                     ,2524,19-04-2020,מפוזרת,28.8,406.8,694.8,766.8,716.4,874.8,964.8,928.8,835.2,777.6,626.4,446.4,187.2,0
בית דגן קרינה                                     ,2524,19-04-2020,גלובאלית,32.4,637.2,1274.4,2174.4,2772,3092.4,3250.8,3164.4,2872.8,2332.8,1684.8,878.4,248.4,0
בית דגן קרינה                                     ,2524,20-04-2020,ישירה,7.2,583.2,964.8,1638,2016,2462.4,2581.2,2602.8,2476.8,2278.8,1972.8,1353.6,352.8,0
בית דגן קרינה                                     ,2524,20-04-2020,מפוזרת,32.4,378,637.2,820.8,871.2,774,741.6,705.6,687.6,633.6,536.4,406.8,180,0
בית דגן קרינה                                     ,2524,20-04-2020,גלובאלית,36,648,1252.8,2116.8,2710.8,3160.8,3315.6,3247.2,2930.4,2415.6,1749.6,979.2,277.2,0
בית דגן קרינה                                     ,2524,21-04-2020,ישירה,3.6,745.2,1357.2,885.6,1911.6,2458.8,1825.2,2610,2282.4,943.2,1915.2,1641.6,619.2,0
בית דגן קרינה                                     ,2524,21-04-2020,מפוזרת,21.6,360,781.2,885.6,853.2,820.8,1029.6,716.4,792,1126.8,626.4,356.4,169.2,0
בית דגן קרינה                                     ,2524,21-04-2020,גלובאלית,25.2,676.8,1630.8,1677.6,2599.2,3214.8,2988,3265.2,2926.8,2095.2,1821.6,1004.4,302.4,0
בית דגן קרינה                                     ,2524,22-04-2020,ישירה,25.2,547.2,1414.8,1800,2160,2419.2,2743.2,2779.2,2710.8,2710.8,2145.6,824.4,50.4,0
בית דגן קרינה                                     ,2524,22-04-2020,מפוזרת,43.2,392.4,529.2,720,792,781.2,655.2,626.4,594,486,489.6,500.4,205.2,0
בית דגן קרינה                                     ,2524,22-04-2020,גלובאלית,54,730.8,1501.2,2185.2,2790,3182.4,3394.8,3322.8,3034.8,2545.2,1803.6,921.6,244.8,0
בית דגן קרינה                                     ,2524,23-04-2020,מפוזרת,39.6,342,547.2,802.8,727.2,838.8,1022.4,658.8,471.6,460.8,414,313.2,169.2,0
בית דגן קרינה                                     ,2524,23-04-2020,גלובאלית,68.4,838.8,1566,2336.4,2667.6,3168,3470.4,3441.6,3088.8,2628,1926,1051.2,216,0
בית דגן קרינה                                     ,2524,23-04-2020,ישירה,136.8,1382.4,1839.6,2008.8,2210.4,2358,2390.4,2883.6,2973.6,2883.6,2602.8,1854,104.4,0
בית דגן קרינה                                     ,2524,24-04-2020,ישירה,14.4,93.6,108,450,540,471.6,115.2,352.8,244.8,28.8,75.6,36,3.6,0
בית דגן קרינה                                     ,2524,24-04-2020,מפוזרת,50.4,388.8,691.2,792,723.6,1220.4,1036.8,1389.6,1328.4,864,781.2,507.6,183.6,0
בית דגן קרינה                                     ,2524,24-04-2020,גלובאלית,68.4,558,910.8,1375.2,1364.4,1890,1285.2,1933.2,1778.4,1011.6,950.4,597.6,208.8,0
בית דגן קרינה                                     ,2524,25-04-2020,ישירה,0,572.4,25.2,50.4,57.6,637.2,1724.4,1980,810,1252.8,745.2,270,50.4,0
בית דגן קרינה                                     ,2524,25-04-2020,מפוזרת,36,370.8,748.8,1054.8,1029.6,1519.2,1368,972,1472.4,1044,712.8,511.2,190.8,0
בית דגן קרינה                                     ,2524,25-04-2020,גלובאלית,43.2,633.6,885.6,1260,1224,2530.8,3445.2,3099.6,2466,2203.2,1350,720,226.8,0
בית דגן קרינה                                     ,2524,26-04-2020,מפוזרת,39.6,334.8,460.8,543.6,576,540,432,396,356.4,363.6,313.2,266.4,151.2,0
בית דגן קרינה                                     ,2524,26-04-2020,גלובאלית,82.8,964.8,1670.4,2412,2883.6,3362.4,3679.2,3549.6,3229.2,2736,2034,1177.2,381.6,0
בית דגן קרינה                                     ,2524,26-04-2020,ישירה,205.2,1774.8,2210.4,2552.4,2667.6,2973.6,3340.8,3319.2,3290.4,3160.8,2944.8,2296.8,1072.8,0
בית דגן קרינה                                     ,2524,27-04-2020,מפוזרת,39.6,435.6,543.6,640.8,730.8,489.6,590.4,1080,1098,806.4,824.4,482.4,194.4,0
בית דגן קרינה                                     ,2524,27-04-2020,גלובאלית,72,946.8,1454.4,2451.6,2818.8,3445.2,3438,2739.6,2916,2138.4,1083.6,561.6,241.2,0
בית דגן קרינה                                     ,2524,27-04-2020,ישירה,126,1357.2,1468.8,2455.2,2332.8,3128.4,2876.4,1522.8,1846.8,1562.4,176.4,14.4,57.6,0
בית דגן קרינה                                     ,2524,28-04-2020,מפוזרת,32.4,234,291.6,316.8,363.6,432,396,363.6,360,363.6,363.6,295.2,172.8,0
בית דגן קרינה                                     ,2524,28-04-2020,גלובאלית,90,964.8,1789.2,2498.4,3034.8,3430.8,3578.4,3499.2,3186,2700,1998,1173.6,370.8,0
בית דגן קרינה                                     ,2524,28-04-2020,ישירה,284.4,2149.2,2782.8,3074.4,3150,3186,3268.8,3294,3222,3099.6,2754,2178,784.8,0
בית דגן קרינה                                     ,2524,29-04-2020,מפוזרת,36,277.2,489.6,723.6,993.6,914.4,1083.6,903.6,676.8,774,579.6,352.8,190.8,0
בית דגן קרינה                                     ,2524,29-04-2020,גלובאלית,79.2,990,1483.2,1566,2563.2,3376.8,3070.8,3340.8,3013.2,2314.8,1789.2,777.6,273.6,0
בית דגן קרינה                                     ,2524,29-04-2020,ישירה,190.8,2044.8,1803.6,968.4,1623.6,2469.6,1843.2,2415.6,2559.6,1864.8,1918.8,900,201.6,0
בית דגן קרינה                                     ,2524,30-04-2020,מפוזרת,36,414,612,838.8,514.8,514.8,547.2,514.8,424.8,363.6,327.6,306,198,0
בית דגן קרינה                                     ,2524,30-04-2020,גלובאלית,82.8,1000.8,1450.8,2080.8,2995.2,3488.4,3603.6,3495.6,3168,2682,2019.6,1162.8,273.6,0
בית דגן קרינה                                     ,2524,30-04-2020,ישירה,205.2,1605.6,1278,1526.4,2865.6,3121.2,3088.8,3085.2,3096,3056.4,2847.6,2070,180,0
בית דגן קרינה                                     ,2524,01-05-2020,מפוזרת,36,262.8,342,410.4,406.8,370.8,345.6,399.6,453.6,507.6,500.4,432,234,0
בית דגן קרינה                                     ,2524,01-05-2020,גלובאלית,86.4,950.4,1767.6,2473.2,3056.4,3470.4,3614.4,3448.8,3132,2631.6,1940.4,1123.2,331.2,0
בית דגן קרינה                                     ,2524,01-05-2020,ישירה,223.2,1911.6,2592,2844,3088.8,3290.4,3355.2,3178.8,3013.2,2750.4,2336.4,1569.6,226.8,0
בית דגן קרינה                                     ,2524,02-05-2020,ישירה,3.6,1238.4,1447.2,1432.8,1436.4,2494.8,3358.8,3268.8,2487.6,925.2,2095.2,1958.4,867.6,0
בית דגן קרינה                                     ,2524,02-05-2020,מפוזרת,43.2,424.8,810,831.6,900,698.4,352.8,381.6,738,1000.8,687.6,403.2,198,0
בית דגן קרינה                                     ,2524,02-05-2020,גלובאלית,54,932.4,1742.4,1976.4,2289.6,3153.6,3632.4,3510,3042,1908,2008.8,1234.8,406.8,0
בית דגן קרינה                                     ,2524,03-05-2020,מפוזרת,32.4,216,262.8,302.4,370.8,558,766.8,964.8,1051.2,709.2,525.6,396,216,0
בית דגן קרינה                                     ,2524,03-05-2020,גלובאלית,93.6,1047.6,1861.2,2563.2,3099.6,3384,3369.6,3445.2,2984.4,2512.8,1969.2,1188,399.6,0
בית דגן קרינה                                     ,2524,03-05-2020,ישירה,277.2,2354.4,2926.8,3142.8,3186,2944.8,2556,2437.2,1987.2,2196,2293.2,1864.8,817.2,0
בית דגן קרינה                                     ,2524,04-05-2020,מפוזרת,126,244.8,288,306,320.4,324,316.8,288,280.8,270,252,219.6,147.6,0
בית דגן קרינה                                     ,2524,04-05-2020,גלובאלית,252,1047.6,1803.6,2509.2,3078,3445.2,3603.6,3542.4,3236.4,2703.6,2016,1234.8,432,0
בית דגן קרינה                                     ,2524,04-05-2020,ישירה,547.2,2253.6,2775.6,3092.4,3254.4,3348,3394.8,3434.4,3384,3243.6,3020.4,2613.6,1641.6,0
בית דגן קרינה                                     ,2524,05-05-2020,מפוזרת,54,460.8,655.2,1123.2,1224,1238.4,662.4,1324.8,1328.4,838.8,867.6,183.6,216,0
בית דגן קרינה                                     ,2524,05-05-2020,ישירה,54,478.8,1612.8,316.8,198,424.8,25.2,280.8,493.2,1400.4,489.6,0,255.6,0
בית דגן קרינה                                     ,2524,05-05-2020,גלובאלית,72,702,1648.8,1515.6,1580.4,1839.6,792,1947.6,1951.2,2055.6,1296,208.8,288,0
בית דגן קרינה                                     ,2524,06-05-2020,ישירה,0,478.8,1479.6,1288.8,2336.4,2350.8,1962,2322,2282.4,2286,1965.6,1026,460.8,0
בית דגן קרינה                                     ,2524,06-05-2020,מפוזרת,21.6,302.4,716.4,820.8,842.4,943.2,1090.8,943.2,727.2,702,619.2,478.8,237.6,0
בית דגן קרינה                                     ,2524,06-05-2020,גלובאלית,25.2,536.4,1623.6,1839.6,2984.4,3319.2,3200.4,3326.4,2898,2534.4,1868.4,957.6,356.4,0
בית דגן קרינה                                     ,2524,07-05-2020,מפוזרת,144,252,302.4,356.4,385.2,403.2,424.8,417.6,388.8,345.6,306,266.4,172.8,0
בית דגן קרינה                                     ,2524,07-05-2020,גלובאלית,320.4,1051.2,1836,2552.4,3110.4,3463.2,3618,3542.4,3250.8,2718,2026.8,1252.8,460.8,0
בית דגן קרינה                                     ,2524,07-05-2020,ישירה,824.4,2253.6,2768.4,3002.4,3171.6,3240,3250.8,3236.4,3211.2,3114,2894.4,2455.2,1497.6,0
בית דגן קרינה                                     ,2524,08-05-2020,מפוזרת,162,298.8,327.6,342,360,414,363.6,316.8,331.2,327.6,316.8,295.2,187.2,0
בית דגן קרינה                                     ,2524,08-05-2020,גלובאלית,298.8,1008,1843.2,2570.4,3117.6,3466.8,3657.6,3596.4,3250.8,2718,2019.6,1231.2,460.8,0
בית דגן קרינה                                     ,2524,08-05-2020,ישירה,464.4,2008.8,2660.4,3049.2,3200.4,3200.4,3355.2,3423.6,3290.4,3132,2836.8,2268,1342.8,0
בית דגן קרינה                                     ,2524,09-05-2020,ישירה,7.2,10.8,172.8,0,14.4,1080,2646,2700,1512,1054.8,612,475.2,10.8,0
בית דגן קרינה                                     ,2524,09-05-2020,מפוזרת,50.4,352.8,644.4,428.4,1040.4,1371.6,730.8,720,990,1033.2,849.6,536.4,190.8,0
בית דגן קרינה                                     ,2524,09-05-2020,גלובאלית,57.6,399.6,824.4,468,1180.8,2703.6,3492,3470.4,2566.8,2034,1346.4,813.6,216,0
בית דגן קרינה                                     ,2524,10-05-2020,מפוזרת,154.8,280.8,716.4,741.6,648,406.8,352.8,342,324,324,316.8,273.6,183.6,0
בית דגן קרינה                                     ,2524,10-05-2020,גלובאלית,320.4,1072.8,1738.8,1634.4,2872.8,3553.2,3682.8,3600,3290.4,2775.6,2062.8,1281.6,486,0
בית דגן קרינה                                     ,2524,10-05-2020,ישירה,734.4,2134.8,1652.4,1054.8,2433.6,3261.6,3344.4,3340.8,3297.6,3171.6,2887.2,2469.6,1458,0
בית דגן קרינה                                     ,2524,11-05-2020,מפוזרת,162,295.2,385.2,622.8,702,612,738,1288.8,1339.2,1202.4,864,604.8,302.4,0
בית דגן קרינה                                     ,2524,11-05-2020,גלובאלית,352.8,1112.4,1915.2,2466,3088.8,3528,3700.8,2829.6,2354.4,2264.4,1209.6,752.4,417.6,0
בית דגן קרינה                                     ,2524,11-05-2020,ישירה,867.6,2210.4,2638.8,2361.6,2671.2,3024,2944.8,1339.2,874.8,1123.2,342,176.4,273.6,0
בית דגן קרינה                                     ,2524,12-05-2020,מפוזרת,54,432,507.6,547.2,626.4,597.6,572.4,561.6,522,486,435.6,363.6,223.2,25.2
בית דגן קרינה                                     ,2524,12-05-2020,גלובאלית,90,972,1803.6,2484,3013.2,3409.2,3571.2,3481.2,3193.2,2692.8,2012.4,1234.8,482.4,25.2
בית דגן קרינה                                     ,2524,12-05-2020,ישירה,129.6,1332,2167.2,2548.8,2671.2,2894.4,2988,2980.8,2937.6,2786.4,2523.6,2026.8,1148.4,25.2
בית דגן קרינה                                     ,2524,13-05-2020,מפוזרת,180,342,435.6,680.4,831.6,1231.2,1058.4,1213.2,1177.2,1231.2,892.8,640.8,259.2,18
בית דגן קרינה                                     ,2524,13-05-2020,גלובאלית,309.6,1054.8,1864.8,2278.8,3052.8,2613.6,3459.6,2732.4,2455.2,2091.6,2034,896.4,288,18
בית דגן קרינה                                     ,2524,13-05-2020,ישירה,414,1677.6,2426.4,2034,2440.8,1198.8,2264.4,1339.2,1231.2,831.6,1627.2,352.8,14.4,0
בית דגן קרינה                                     ,2524,14-05-2020,ישירה,104.4,126,766.8,954,1486.8,1951.2,1314,2473.2,2566.8,1220.4,608.4,32.4,7.2,0
בית דגן קרינה                                     ,2524,14-05-2020,מפוזרת,183.6,385.2,741.6,961.2,1090.8,1022.4,1080,867.6,702,864,871.2,504,172.8,10.8
בית דגן קרינה                                     ,2524,14-05-2020,גלובאלית,234,493.2,1306.8,1890,2692.8,3142.8,2757.6,3488.4,3164.4,2019.6,1411.2,586.8,198,14.4
בית דגן קרינה                                     ,2524,15-05-2020,ישירה,14.4,10.8,100.8,1962,2178,2008.8,2394,1803.6,219.6,496.8,334.8,316.8,266.4,7.2
בית דגן קרינה                                     ,2524,15-05-2020,מפוזרת,165.6,378,680.4,1220.4,972,1026,871.2,1044,1231.2,1080,820.8,442.8,280.8,28.8
בית דגן קרינה                                     ,2524,15-05-2020,גלובאלית,187.2,428.4,846,2865.6,3078,3189.6,3416.4,3034.8,1638,1602,1170,640.8,378,32.4
בית דגן קרינה                                     ,2524,16-05-2020,מפוזרת,154.8,356.4,428.4,493.2,572.4,784.8,835.2,1033.2,936,709.2,529.2,496.8,324,46.8
בית דגן קרינה                                     ,2524,16-05-2020,ישירה,183.6,1753.2,2358,2682,2703.6,2491.2,2476.8,1904.4,1497.6,2127.6,2142,1508.4,288,72
בית דגן קרינה                                     ,2524,16-05-2020,גלובאלית,208.8,1062,1800,2545.2,3009.6,3326.4,3448.8,3114,2476.8,2502,1904.4,1213.2,417.6,50.4
בית דגן קרינה                                     ,2524,17-05-2020,מפוזרת,216,414,558,741.6,802.8,752.4,756,745.2,730.8,705.6,622.8,486,266.4,28.8
בית דגן קרינה                                     ,2524,17-05-2020,גלובאלית,334.8,1036.8,1713.6,2563.2,3056.4,3337.2,3423.6,3333.6,3016.8,2448,1868.4,1137.6,424.8,32.4
בית דגן קרינה                                     ,2524,17-05-2020,ישירה,482.4,1483.2,1893.6,2253.6,2394,2538,2606.4,2548.8,2372.4,2030.4,1810.8,1328.4,500.4,7.2
בית דגן קרינה                                     ,2524,18-05-2020,מפוזרת,212.4,410.4,536.4,633.6,669.6,676.8,669.6,655.2,644.4,594,511.2,414,252,32.4
בית דגן קרינה                                     ,2524,18-05-2020,גלובאלית,324,1011.6,1735.2,2433.6,2991.6,3351.6,3459.6,3366,3092.4,2620.8,2005.2,1260,493.2,36
בית דגן קרינה                                     ,2524,18-05-2020,ישירה,439.2,1414.8,1962,2257.2,2512.8,2682,2754,2739.6,2595.6,2469.6,2271.6,1846.8,957.6,36
בית דגן קרינה                                     ,2524,19-05-2020,מפוזרת,230.4,471.6,612,698.4,759.6,795.6,802.8,795.6,784.8,766.8,673.2,532.8,291.6,32.4
בית דגן קרינה                                     ,2524,19-05-2020,ישירה,324,1180.8,1810.8,2192.4,2361.6,2476.8,2527.2,2491.2,2332.8,2131.2,1778.4,1209.6,450,10.8
בית דגן קרינה                                     ,2524,19-05-2020,גלובאלית,327.6,1008,1756.8,2469.6,2977.2,3322.8,3420,3315.6,3045.6,2563.2,1893.6,1141.2,439.2,36
בית דגן קרינה                                     ,2524,20-05-2020,מפוזרת,223.2,471.6,615.6,705.6,759.6,795.6,810,792,748.8,687.6,604.8,478.8,284.4,36
בית דגן קרינה                                     ,2524,20-05-2020,ישירה,284.4,1112.4,1728,2120.4,2336.4,2415.6,2498.4,2516.4,2466,2325.6,2062.8,1587.6,720,21.6
בית דגן קרינה                                     ,2524,20-05-2020,גלובאלית,316.8,993.6,1738.8,2433.6,2966.4,3297.6,3470.4,3409.2,3096,2610,1965.6,1220.4,486,39.6
בית דגן קרינה                                     ,2524,21-05-2020,מפוזרת,201.6,338.4,403.2,450,471.6,475.2,471.6,471.6,457.2,414,399.6,342,234,28.8
בית דגן קרינה                                     ,2524,21-05-2020,גלובאלית,388.8,1148.4,1940.4,2617.2,3189.6,3549.6,3693.6,3600,3243.6,2746.8,2073.6,1310.4,525.6,32.4
בית דגן קרינה                                     ,2524,21-05-2020,ישירה,892.8,2055.6,2599.2,2851.2,3045.6,3153.6,3204,3186,3114,3006,2707.2,2250,1198.8,39.6
בית דגן קרינה                                     ,2524,22-05-2020,מפוזרת,212.4,414,522,583.2,644.4,730.8,1036.8,781.2,910.8,687.6,586.8,468,270,28.8
בית דגן קרינה                                     ,2524,22-05-2020,גלובאלית,334.8,1011.6,1774.8,2451.6,2980.8,3348,3290.4,3380.4,2998.8,2563.2,1944,1069.2,381.6,32.4
בית דגן קרינה                                     ,2524,22-05-2020,ישירה,475.2,1386,2001.6,2368.8,2512.8,2566.8,2044.8,2512.8,2127.6,2253.6,2037.6,1216.8,309.6,3.6
בית דגן קרינה                                     ,2524,23-05-2020,מפוזרת,270,586.8,687.6,1018.8,1130.4,1382.4,1695.6,1256.4,990,943.2,597.6,446.4,295.2,39.6
בית דגן קרינה                                     ,2524,23-05-2020,ישירה,302.4,457.2,720,1368,1486.8,1252.8,237.6,1094.4,1918.8,2055.6,2149.2,1238.4,453.6,39.6
בית דגן קרינה                                     ,2524,23-05-2020,גלובאלית,370.8,867.6,1234.8,2242.8,2703.6,2916,2253.6,2498.4,2822.4,2631.6,1947.6,1044,428.4,46.8
בית דגן קרינה                                     ,2524,24-05-2020,ישירה,212.4,943.2,1436.4,1148.4,1864.8,2635.2,2847.6,2055.6,3006,1807.2,709.2,478.8,619.2,97.2
בית דגן קרינה                                     ,2524,24-05-2020,מפוזרת,226.8,482.4,648,720,921.6,572.4,608.4,770.4,525.6,802.8,867.6,482.4,252,46.8
בית דגן קרינה                                     ,2524,24-05-2020,גלובאלית,302.4,907.2,1594.8,1717.2,2692.8,3186,3510,2890.8,3240,2307.6,1461.6,741.6,378,61.2
בית דגן קרינה                                     ,2524,25-05-2020,מפוזרת,244.8,529.2,586.8,651.6,608.4,673.2,568.8,370.8,309.6,284.4,255.6,230.4,172.8,28.8
בית דגן קרינה                                     ,2524,25-05-2020,גלובאלית,424.8,1234.8,1548,2203.2,3027.6,3412.8,3416.4,3513.6,3272.4,2800.8,2134.8,1368,604.8,46.8
בית דגן קרינה                                     ,2524,25-05-2020,ישירה,824.4,1702.8,1458,1933.2,2667.6,2754,2772,3189.6,3326.4,3258,3103.2,2768.4,1983.6,147.6
בית דגן קרינה                                     ,2524,26-05-2020,מפוזרת,162,212.4,248.4,284.4,316.8,331.2,360,428.4,345.6,345.6,349.2,338.4,230.4,39.6
בית דגן קרינה                                     ,2524,26-05-2020,גלובאלית,471.6,1224,1980,2649.6,3207.6,3560.4,3715.2,3614.4,3322.8,2800.8,2134.8,1306.8,601.2,57.6
בית דגן קרינה                                     ,2524,26-05-2020,ישירה,1512,2599.2,2980.8,3153.6,3297.6,3376.8,3369.6,3243.6,3286.8,3117.6,2829.6,2167.2,1558.8,104.4
בית דגן קרינה                                     ,2524,27-05-2020,מפוזרת,241.2,428.4,853.2,1008,802.8,662.4,525.6,500.4,471.6,421.2,370.8,306,208.8,36
בית דגן קרינה                                     ,2524,27-05-2020,גלובאלית,349.2,518.4,1162.8,2131.2,3142.8,3452.4,3610.8,3528,3236.4,2754,2106,1368,579.6,50.4
בית דגן קרינה                                     ,2524,27-05-2020,ישירה,471.6,97.2,356.4,1245.6,2516.4,2797.2,3042,3052.8,3009.6,2934,2736,2412,1602,90
בית דגן קרינה                                     ,2524,28-05-2020,ישירה,7.2,1108.8,1569.6,2322,2066.4,2455.2,2696.4,3024,3132,3106.8,2959.2,2296.8,1616.4,180
בית דגן קרינה                                     ,2524,28-05-2020,מפוזרת,118.8,399.6,684,799.2,1144.8,954,813.6,572.4,446.4,385.2,324,288,277.2,54
בית דגן קרינה                                     ,2524,28-05-2020,גלובאלית,133.2,914.4,1695.6,2656.8,3150,3463.2,3628.8,3589.2,3308.4,2829.6,2178,1306.8,658.8,75.6
בית דגן קרינה                                     ,2524,29-05-2020,מפוזרת,180,306,439.2,493.2,608.4,594,475.2,856.8,489.6,702,532.8,374.4,201.6,50.4
בית דגן קרינה                                     ,2524,29-05-2020,גלובאלית,309.6,1008,1872,2462.4,2628,3063.6,3243.6,2962.8,2944.8,2188.8,2088,1375.2,637.2,75.6
